Event, Bet, Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,Bet Side,
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs  $$odds=1.606061 $$points=38,Tampa Bay Buccaneers  $$odds=2.45 $$points=59
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-3.0, Kansas City Chiefs $$line={-3.0} $$odds=1.833333 $$points=45,Tampa Bay Buccaneers $$line={3.0} $$odds=2 $$points=50
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=56.5, Over $$line={56.5} $$odds=1.909091 $$points=48,Under $$line={56.5} $$odds=1.909091 $$points=48
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs - 1H  $$odds=1.666667 $$points=40,Tampa Bay Buccaneers - 1H  $$odds=2.3 $$points=57
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-2.5, Kansas City Chiefs - 1H $$line={-2.5} $$odds=1.909091 $$points=48,Tampa Bay Buccaneers - 1H $$line={2.5} $$odds=1.909091 $$points=48
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=27.5, Over - 1H $$line={27.5} $$odds=1.909091 $$points=48,Under - 1H $$line={27.5} $$odds=1.909091 $$points=48
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs - 1Q  $$odds=1.666667 $$points=40,Tampa Bay Buccaneers - 1Q  $$odds=2.15 $$points=53
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-0.5, Kansas City Chiefs - 1Q $$line={-0.5} $$odds=2.05 $$points=51,Tampa Bay Buccaneers - 1Q $$line={0.5} $$odds=1.741 $$points=43
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=10.0, Over - 1Q $$line={10.0} $$odds=1.8 $$points=44,Under - 1Q $$line={10.0} $$odds=1.952381 $$points=49
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs - 2Q  $$odds=1.606061 $$points=38,Tampa Bay Buccaneers - 2Q  $$odds=2.25 $$points=56
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-0.5, Kansas City Chiefs - 2Q $$line={-0.5} $$odds=1.87 $$points=47,Tampa Bay Buccaneers - 2Q $$line={0.5} $$odds=1.87 $$points=47
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=17.0, Over - 2Q $$line={17.0} $$odds=2 $$points=50,Under - 2Q $$line={17.0} $$odds=1.76923 $$points=43
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs - 3Q  $$odds=1.666667 $$points=40,Tampa Bay Buccaneers - 3Q  $$odds=2.15 $$points=53
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-0.5, Kansas City Chiefs - 3Q $$line={-0.5} $$odds=1.952381 $$points=49,Tampa Bay Buccaneers - 3Q $$line={0.5} $$odds=1.8 $$points=44
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=10.5, Over - 3Q $$line={10.5} $$odds=1.952381 $$points=49,Under - 3Q $$line={10.5} $$odds=1.8 $$points=44
Kansas City Chiefs @ Tampa Bay Buccaneers, Moneyline , Kansas City Chiefs - 4Q  $$odds=1.69 $$points=41,Tampa Bay Buccaneers - 4Q  $$odds=2.1 $$points=52
Kansas City Chiefs @ Tampa Bay Buccaneers, Point Spread $$number=-0.5, Kansas City Chiefs - 4Q $$line={-0.5} $$odds=1.952381 $$points=49,Tampa Bay Buccaneers - 4Q $$line={0.5} $$odds=1.8 $$points=44
Kansas City Chiefs @ Tampa Bay Buccaneers, Total $$number=14.5, Over - 4Q $$line={14.5} $$odds=1.909091 $$points=48,Under - 4Q $$line={14.5} $$odds=1.833333 $$points=45
